method,split,stress_level,seeds,episodes_per_seed,mean_success_rate,ci95_success_rate,mean_normalized_force_error,ci95_normalized_force_error,mean_peak_overshoot,ci95_peak_overshoot,mean_safety_violation_rate,ci95_safety_violation_rate,mean_slip_rate,ci95_slip_rate,mean_chatter_rate,ci95_chatter_rate,mean_final_progress,ci95_final_progress
random_forest_gain_regressor,combined_extreme_stress,1.00,8,3,0.70833,0.19276,0.18432,0.00512,1.63476,0.06500,0.00692,0.00405,0.49148,0.00961,0.12795,0.02025,0.74829,0.00438
random_forest_gain_regressor,combined_stress,0.00,8,3,0.58333,0.10693,0.20804,0.00963,1.14941,0.01533,0.00000,0.00000,0.58836,0.00431,0.03456,0.00717,0.80814,0.00176
random_forest_gain_regressor,combined_stress,0.25,8,3,1.00000,0.00000,0.18304,0.00402,1.35994,0.03872,0.00000,0.00000,0.56834,0.00740,0.04527,0.00837,0.79165,0.00375
random_forest_gain_regressor,combined_stress,0.50,8,3,0.91667,0.10693,0.17042,0.00458,1.50586,0.01195,0.00000,0.00000,0.55768,0.00951,0.07619,0.00702,0.77798,0.00320
random_forest_gain_regressor,combined_stress,0.75,8,3,0.95833,0.08167,0.17506,0.00369,1.62645,0.06154,0.00390,0.00354,0.53037,0.01221,0.09266,0.01218,0.76314,0.00354
random_forest_gain_regressor,combined_stress,1.00,8,3,0.50000,0.27608,0.19032,0.00787,1.67682,0.03541,0.00784,0.00326,0.48483,0.01696,0.10146,0.01493,0.73863,0.00796
random_forest_gain_regressor,friction_slip_shift,0.00,8,3,0.58333,0.16333,0.19368,0.00791,1.05248,0.00558,0.00000,0.00000,0.58693,0.00831,0.00000,0.00000,0.80715,0.00261
random_forest_gain_regressor,friction_slip_shift,0.25,8,3,0.87500,0.11955,0.17736,0.00657,1.27166,0.01084,0.00000,0.00000,0.57297,0.00582,0.02244,0.00573,0.79391,0.00253
random_forest_gain_regressor,friction_slip_shift,0.50,8,3,0.95833,0.08167,0.16739,0.00434,1.43825,0.01897,0.00000,0.00000,0.55826,0.00766,0.05024,0.00909,0.78136,0.00229
random_forest_gain_regressor,friction_slip_shift,0.75,8,3,0.95833,0.08167,0.16771,0.00462,1.53455,0.03234,0.00000,0.00000,0.53930,0.00721,0.07509,0.00803,0.76858,0.00176
random_forest_gain_regressor,friction_slip_shift,1.00,8,3,0.70833,0.08167,0.18484,0.00645,1.65689,0.04354,0.00540,0.00288,0.50079,0.01123,0.09397,0.01391,0.74575,0.00274
risk_averse_impedance,combined_extreme_stress,0.00,8,3,0.00000,0.00000,0.33061,0.00687,1.05849,0.02690,0.00000,0.00000,0.20058,0.00841,0.01805,0.00258,0.60624,0.00143
risk_averse_impedance,combined_extreme_stress,0.25,8,3,0.00000,0.00000,0.26663,0.00490,1.16137,0.04653,0.00000,0.00000,0.09495,0.01604,0.03616,0.00857,0.59259,0.00253
risk_averse_impedance,combined_extreme_stress,0.50,8,3,0.00000,0.00000,0.21934,0.00554,1.17739,0.03317,0.00000,0.00000,0.01404,0.01560,0.05012,0.00448,0.57722,0.00348
risk_averse_impedance,combined_extreme_stress,0.75,8,3,0.00000,0.00000,0.19460,0.00612,1.27009,0.03158,0.00000,0.00000,0.00200,0.00297,0.07174,0.00860,0.55596,0.00338
risk_averse_impedance,combined_extreme_stress,1.00,8,3,0.00000,0.00000,0.17990,0.00421,1.32179,0.05947,0.00000,0.00000,0.00301,0.00590,0.09125,0.01145,0.54383,0.00455
risk_averse_impedance,combined_stress,0.00,8,3,0.00000,0.00000,0.33582,0.01087,0.98244,0.01748,0.00000,0.00000,0.20894,0.01082,0.00500,0.00324,0.60906,0.00125
risk_averse_impedance,combined_stress,0.25,8,3,0.00000,0.00000,0.25647,0.00432,1.11849,0.02647,0.00000,0.00000,0.07710,0.02274,0.02807,0.00594,0.59156,0.00400
risk_averse_impedance,combined_stress,0.50,8,3,0.00000,0.00000,0.21909,0.00438,1.20302,0.02190,0.00000,0.00000,0.00000,0.00000,0.04261,0.01392,0.57241,0.00374
risk_averse_impedance,combined_stress,0.75,8,3,0.00000,0.00000,0.18831,0.00674,1.23865,0.03901,0.00000,0.00000,0.00000,0.00000,0.07113,0.01083,0.55096,0.00494
risk_averse_impedance,combined_stress,1.00,8,3,0.00000,0.00000,0.17270,0.00478,1.35319,0.04363,0.00051,0.00101,0.00000,0.00000,0.09519,0.01476,0.52415,0.00841
risk_averse_impedance,friction_slip_shift,0.00,8,3,0.00000,0.00000,0.33060,0.00901,0.88263,0.00918,0.00000,0.00000,0.21136,0.00588,0.00000,0.00000,0.61015,0.00140
risk_averse_impedance,friction_slip_shift,0.25,8,3,0.00000,0.00000,0.25380,0.00498,1.02965,0.00594,0.00000,0.00000,0.08392,0.01503,0.00805,0.00333,0.59272,0.00251
risk_averse_impedance,friction_slip_shift,0.50,8,3,0.00000,0.00000,0.21672,0.00651,1.12294,0.01799,0.00000,0.00000,0.00000,0.00000,0.01698,0.00789,0.57488,0.00202
risk_averse_impedance,friction_slip_shift,0.75,8,3,0.00000,0.00000,0.18117,0.00474,1.15434,0.02026,0.00000,0.00000,0.00000,0.00000,0.04304,0.00815,0.55706,0.00310
risk_averse_impedance,friction_slip_shift,1.00,8,3,0.00000,0.00000,0.16706,0.00468,1.26450,0.02253,0.00000,0.00000,0.00000,0.00000,0.07005,0.00709,0.53377,0.00347
robust_mpc_impedance,combined_extreme_stress,0.00,8,3,0.00000,0.00000,0.30229,0.00587,1.11657,0.03207,0.00000,0.00000,0.42807,0.00678,0.03683,0.01132,0.68247,0.00088
robust_mpc_impedance,combined_extreme_stress,0.25,8,3,0.00000,0.00000,0.24902,0.00520,1.21168,0.03721,0.00000,0.00000,0.40263,0.00778,0.05420,0.00666,0.67345,0.00113
robust_mpc_impedance,combined_extreme_stress,0.50,8,3,0.00000,0.00000,0.21104,0.00671,1.28675,0.04063,0.00000,0.00000,0.37224,0.00922,0.07306,0.00752,0.66238,0.00182
robust_mpc_impedance,combined_extreme_stress,0.75,8,3,0.00000,0.00000,0.19191,0.00552,1.36033,0.03458,0.00000,0.00000,0.31989,0.02163,0.08354,0.01365,0.64737,0.00202
robust_mpc_impedance,combined_extreme_stress,1.00,8,3,0.00000,0.00000,0.18117,0.00400,1.40606,0.03100,0.00000,0.00000,0.27863,0.02282,0.11298,0.01507,0.63564,0.00302
robust_mpc_impedance,combined_stress,0.00,8,3,0.00000,0.00000,0.30536,0.01034,1.03564,0.01953,0.00000,0.00000,0.43491,0.00565,0.01684,0.00485,0.68490,0.00084
robust_mpc_impedance,combined_stress,0.25,8,3,0.00000,0.00000,0.23668,0.00517,1.19177,0.03095,0.00000,0.00000,0.40017,0.00558,0.04338,0.00885,0.67465,0.00185
robust_mpc_impedance,combined_stress,0.50,8,3,0.00000,0.00000,0.20413,0.00422,1.27649,0.03300,0.00000,0.00000,0.36850,0.00756,0.06749,0.01183,0.66274,0.00215
robust_mpc_impedance,combined_stress,0.75,8,3,0.00000,0.00000,0.18296,0.00553,1.32190,0.04316,0.00000,0.00000,0.29667,0.02704,0.09460,0.00705,0.64886,0.00274
robust_mpc_impedance,combined_stress,1.00,8,3,0.00000,0.00000,0.17577,0.00418,1.42607,0.05013,0.00104,0.00134,0.17957,0.05647,0.10211,0.01043,0.63059,0.00525
robust_mpc_impedance,friction_slip_shift,0.00,8,3,0.00000,0.00000,0.29792,0.00873,0.95156,0.00740,0.00000,0.00000,0.43486,0.00479,0.00000,0.00000,0.68562,0.00046
robust_mpc_impedance,friction_slip_shift,0.25,8,3,0.00000,0.00000,0.23203,0.00480,1.11976,0.01114,0.00000,0.00000,0.41112,0.00614,0.01334,0.00297,0.67599,0.00131
robust_mpc_impedance,friction_slip_shift,0.50,8,3,0.00000,0.00000,0.20315,0.00651,1.22002,0.02761,0.00000,0.00000,0.36553,0.00970,0.02144,0.00475,0.66490,0.00097
robust_mpc_impedance,friction_slip_shift,0.75,8,3,0.00000,0.00000,0.17362,0.00300,1.23633,0.01977,0.00000,0.00000,0.32768,0.02648,0.06086,0.01319,0.65213,0.00189
robust_mpc_impedance,friction_slip_shift,1.00,8,3,0.00000,0.00000,0.16921,0.00253,1.33957,0.02318,0.00000,0.00000,0.21825,0.03648,0.07419,0.00692,0.63651,0.00214
