method,split,seed,episode,stress_level,success,contact_ratio,mean_abs_force_error,post_shift_force_error,normalized_force_error,peak_overshoot,max_penetration,safety_violation_rate,slip_rate,chatter_rate,chatter_crossings,settling_latency,energy,work,final_progress,final_k_est,final_mu_est,token_switches,trajectory_samples
token_no_discrete_tokens,combined_stress,5,1008,,1,0.95833,5.48635,6.21137,0.31963,0.67456,0.01783,0.00000,0.16522,0.02609,3,120,3.77761,1.68921,0.82819,766.48576,0.49931,0,0:x-0.119:y-0.435:f0.49:tf9.71:p0.0000:tok1;15:x0.018:y-0.411:f5.96:tf9.71:p0.0176:tok1;30:x0.017:y-0.266:f6.49:tf9.71:p0.0166:tok1;45:x0.004:y-0.098:f3.35:tf9.71:p0.0035:tok1;60:x0.007:y-0.060:f4.77:tf9.71:p0.0074:tok1;75:x0.013:y0.020:f8.71:tf17.16:p0.0128:tok1;90:x0.013:y0.086:f9.96:tf17.16:p0.0134:tok1;105:x0.013:y0.202:f9.61:tf17.16:p0.0129:tok1;119:x0.014:y0.281:f12.46:tf17.16:p0.0140:tok1
token_no_force_update,combined_stress,5,1008,,0,0.95000,4.79878,5.08452,0.27958,0.59661,0.01817,0.00000,0.07018,0.03509,4,120,3.96958,1.39499,0.77007,420.00000,0.20000,47,0:x-0.114:y-0.412:f0.00:tf9.71:p0.0000:tok1;15:x0.018:y-0.397:f7.22:tf9.71:p0.0181:tok0;30:x0.017:y-0.287:f5.94:tf9.71:p0.0168:tok3;45:x0.004:y-0.139:f3.04:tf9.71:p0.0041:tok1;60:x0.008:y-0.080:f5.37:tf9.71:p0.0076:tok5;75:x0.015:y-0.002:f11.10:tf17.16:p0.0150:tok2;90:x0.015:y0.055:f11.08:tf17.16:p0.0151:tok5;105:x0.015:y0.152:f11.84:tf17.16:p0.0153:tok5;119:x0.015:y0.231:f10.52:tf17.16:p0.0151:tok5
token_no_transition_planner,combined_stress,5,1008,,0,0.95000,5.37144,5.98759,0.31294,0.65491,0.01841,0.00000,0.00000,0.03509,4,120,3.92555,1.21321,0.76456,738.36444,0.49666,55,0:x-0.123:y-0.419:f0.00:tf9.71:p0.0000:tok1;15:x0.017:y-0.402:f6.54:tf9.71:p0.0175:tok5;30:x0.017:y-0.288:f5.21:tf9.71:p0.0169:tok3;45:x0.005:y-0.144:f2.82:tf9.71:p0.0047:tok1;60:x0.008:y-0.083:f5.88:tf9.71:p0.0080:tok5;75:x0.013:y0.010:f9.16:tf17.16:p0.0133:tok2;90:x0.014:y0.058:f10.39:tf17.16:p0.0138:tok5;105:x0.014:y0.152:f10.96:tf17.16:p0.0142:tok5;119:x0.014:y0.226:f9.84:tf17.16:p0.0138:tok5
token_no_safety_penalty,combined_stress,5,1008,,0,0.95000,5.38097,5.99767,0.31350,0.68214,0.01859,0.00000,0.07895,0.03509,4,120,3.92226,1.18972,0.76807,738.78322,0.49727,51,0:x-0.111:y-0.432:f0.45:tf9.71:p0.0000:tok1;15:x0.018:y-0.410:f6.26:tf9.71:p0.0178:tok2;30:x0.016:y-0.286:f6.70:tf9.71:p0.0165:tok3;45:x0.004:y-0.138:f2.17:tf9.71:p0.0041:tok1;60:x0.008:y-0.084:f6.17:tf9.71:p0.0079:tok2;75:x0.013:y-0.002:f10.13:tf17.16:p0.0132:tok2;90:x0.013:y0.063:f9.09:tf17.16:p0.0133:tok5;105:x0.014:y0.151:f10.12:tf17.16:p0.0139:tok5;119:x0.014:y0.229:f10.50:tf17.16:p0.0138:tok5
token_full,combined_stress,5,1009,,0,0.95000,5.76941,6.18625,0.37577,1.21465,0.02279,0.00877,0.00000,0.03509,4,120,5.10613,0.59729,0.78806,796.79361,0.53692,54,0:x-0.124:y-0.436:f0.26:tf11.77:p0.0000:tok1;15:x0.020:y-0.415:f6.06:tf11.77:p0.0201:tok2;30:x0.021:y-0.300:f7.63:tf11.77:p0.0212:tok3;45:x0.021:y-0.151:f6.80:tf11.77:p0.0215:tok3;60:x0.009:y-0.073:f7.91:tf15.35:p0.0090:tok2;75:x0.012:y-0.044:f9.14:tf15.35:p0.0118:tok5;90:x0.011:y0.042:f8.92:tf15.35:p0.0109:tok5;105:x0.012:y0.170:f10.09:tf15.35:p0.0117:tok2;119:x0.012:y0.246:f9.80:tf15.35:p0.0118:tok5
token_no_memory,combined_stress,5,1009,,0,0.95000,5.66269,6.15958,0.36882,0.56543,0.02271,0.00000,0.07895,0.03509,4,120,3.90729,1.09938,0.77777,790.19423,0.53780,16,0:x-0.122:y-0.417:f0.00:tf11.77:p0.0000:tok3;15:x0.020:y-0.404:f6.87:tf11.77:p0.0204:tok5;30:x0.020:y-0.312:f6.94:tf11.77:p0.0203:tok3;45:x0.020:y-0.158:f8.03:tf11.77:p0.0203:tok3;60:x0.009:y-0.074:f7.23:tf15.35:p0.0089:tok5;75:x0.012:y-0.049:f10.21:tf15.35:p0.0125:tok5;90:x0.012:y0.026:f9.60:tf15.35:p0.0117:tok5;105:x0.011:y0.154:f10.03:tf15.35:p0.0111:tok5;119:x0.012:y0.237:f8.91:tf15.35:p0.0116:tok5
token_no_discrete_tokens,combined_stress,5,1009,,0,0.95833,6.01713,6.47050,0.39191,1.57448,0.02255,0.00870,0.23478,0.03478,4,120,4.93468,1.11100,0.84436,778.00585,0.53766,0,0:x-0.122:y-0.430:f0.73:tf11.77:p0.0000:tok1;15:x0.020:y-0.408:f7.72:tf11.77:p0.0203:tok1;30:x0.022:y-0.286:f7.12:tf11.77:p0.0217:tok1;45:x0.022:y-0.111:f7.09:tf11.77:p0.0225:tok1;60:x0.008:y-0.041:f6.31:tf15.35:p0.0085:tok1;75:x0.011:y-0.014:f10.37:tf15.35:p0.0115:tok1;90:x0.011:y0.069:f8.32:tf15.35:p0.0109:tok1;105:x0.011:y0.228:f9.16:tf15.35:p0.0111:tok1;119:x0.011:y0.295:f8.81:tf15.35:p0.0112:tok1
token_no_force_update,combined_stress,5,1009,,1,0.95000,5.21325,5.37794,0.33955,0.59461,0.02204,0.00000,0.02632,0.01754,2,49,4.41738,1.42373,0.78577,420.00000,0.20000,51,0:x-0.114:y-0.442:f0.66:tf11.77:p0.0000:tok1;15:x0.021:y-0.423:f8.60:tf11.77:p0.0212:tok2;30:x0.020:y-0.300:f5.92:tf11.77:p0.0203:tok3;45:x0.020:y-0.146:f6.52:tf11.77:p0.0204:tok3;60:x0.010:y-0.067:f9.37:tf15.35:p0.0101:tok5;75:x0.013:y-0.041:f9.57:tf15.35:p0.0128:tok5;90:x0.013:y0.038:f10.40:tf15.35:p0.0127:tok3;105:x0.013:y0.167:f10.52:tf15.35:p0.0130:tok2;119:x0.013:y0.244:f9.78:tf15.35:p0.0128:tok5
token_no_transition_planner,combined_stress,5,1009,,0,0.95833,5.72813,6.14861,0.37308,0.73263,0.02256,0.00000,0.00000,0.02609,3,120,4.40757,1.19270,0.79215,801.63225,0.53789,50,0:x-0.108:y-0.431:f0.00:tf11.77:p0.0000:tok1;15:x0.020:y-0.413:f8.44:tf11.77:p0.0203:tok2;30:x0.020:y-0.300:f6.22:tf11.77:p0.0205:tok3;45:x0.022:y-0.152:f7.83:tf11.77:p0.0218:tok3;60:x0.010:y-0.071:f8.47:tf15.35:p0.0101:tok2;75:x0.012:y-0.040:f9.36:tf15.35:p0.0121:tok2;90:x0.012:y0.041:f9.93:tf15.35:p0.0118:tok5;105:x0.012:y0.168:f9.59:tf15.35:p0.0118:tok5;119:x0.012:y0.249:f10.73:tf15.35:p0.0120:tok5
token_no_safety_penalty,combined_stress,5,1009,,0,0.95000,5.82682,6.21092,0.37951,1.31574,0.02389,0.00877,0.00000,0.03509,4,120,5.18392,0.39470,0.77788,798.37283,0.53552,51,0:x-0.119:y-0.430:f0.00:tf11.77:p0.0000:tok1;15:x0.020:y-0.411:f6.55:tf11.77:p0.0197:tok2;30:x0.021:y-0.300:f7.13:tf11.77:p0.0208:tok3;45:x0.022:y-0.152:f7.22:tf11.77:p0.0215:tok3;60:x0.009:y-0.073:f7.23:tf15.35:p0.0090:tok5;75:x0.011:y-0.045:f7.46:tf15.35:p0.0114:tok2;90:x0.011:y0.039:f9.24:tf15.35:p0.0105:tok5;105:x0.011:y0.169:f8.12:tf15.35:p0.0115:tok5;119:x0.012:y0.238:f9.74:tf15.35:p0.0119:tok5
